Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
ACCT A100,Accounting for Small Business,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A101,Financial Accounting,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A101H,Financial Accounting Honors,,,,X,X,,,X,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A102,Managerial Accounting,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A102H,Managerial Accounting Honors,,,,X,X,,,X,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A107,Not for Profit Recordkeeping and Compliance,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A110,Excel for Accounting & Finance,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A111,Individual Income Tax,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A112,Acct with QuickBooks,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A114,Volunteer Income Tax Assistance,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A116,Business Taxation,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A118,Accounting Ethics,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A119,Payroll,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A199,Current Topics in Accounting,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A210,Cost Accounting,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A212,Intermediate Accounting 1,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A213,Intermediate Accounting 2,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A215,Governmental Accounting,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A216,Not-for-Profit Accounting,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A218,Auditing,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A220,Data Analytics for Accounting,,,,X,X,,,,,,,X,"2.1, 7.1",,,X,,,,X,,
ACCT A291,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
ACCT A292,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
ACCT A293,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
ACCT A294,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
ACCT A295,Dir Study,,,,X,X,,,,,,,,,,,X,,,,X,,
ALH A010,Health Occupations,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,,,,,X,,
ALH A012,Health Occupations for DA & MA,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,,,,,X,,
ALH A111,Medical Terminology,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
ALH A112,Intro to Autism/ABA,,,,,X,,,,,,,X,"6.12, 12.2",,,X,,,,X,,
ALH A115,Patient Care,,,,X,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
ALH A120,Human Diseases,,,,,X,,,,,,X,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
ALH A130,Applied Pharmacology,,,,,X,,,,,,X,X,6.10,,,X,,,,X,,
ALH A199,Current Issues in Allied Health,,,,,X,,,,,,,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
ALH A291,Dir Study,,,,,X,,,,,,,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
ALH A292,Directed Study,,,,,X,,,,,,,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
ALH A293,Dir Study,,,,,X,,,,,,,X,"6.1, 6.2, 6.3, 6.5, 6.8, 6.13, 6.17, 6.18, 6.21",,,X,,,,X,,
AMT A140,Helicopter Theory and Operations,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A150,General Maintenance Records - FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A151,General Electricity - FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A152,Gen Airfrm/Pwrplnt Fuel FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A153,"General Materials, Processes & Welding - FAA",,,,X,X,,,,,,,X,"5.8, 13.1, 13.3, 13.6",,,X,,,,X,,
AMT A154,"General Weight & Balance, Math & Physics - FAA",,,,X,X,,,,,,,X,13.60,,,X,,,,X,,
AMT A155,Gen Blueprint Read/Drft FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A160,Airframe & Pwrplnt Elec FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A161,Arfrm Sheet Mtl/Cmposte FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A162,Airframe Asmbly/Rig/ECS FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A163,Airframe Hydraulics and Landing Gear - FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A170,Pwrplnt Recip Engines FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A171,Pwrplnt Fuel/Mtr/Exhst FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A172,Pwrplnt Prplr/Lube Sys FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A173,Pwrplnt Gas Turbine Eng FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
AMT A174,Powerplant Ignition Sys FAA,,,,X,X,,,,,,,X,"13.1, 13.3, 13.6",,,X,,,,X,,
